code;label;Parent_1;Type;CATPOL;Commitment;Payment
SEC1 1 0 3 0;Reserves;SEC1 1 0 3 Reserves;;5.2.11;n/a;n/a
SEC1 1 0 3 1;Invalidity pensions;SEC1 1 0 3;;5.2.11;310.000;310.000
SEC1 1 0 3 1;Reserves;SEC1 1 0 3 Reserves;;5.2.11;n/a;n/a
SEC1 1 0 3 2;Survivors’ pensions;SEC1 1 0 3;;5.2.11;2.810.541;2.810.541
SEC1 1 0 3 2;Reserves;SEC1 1 0 3 Reserves;;5.2.11;n/a;n/a
SEC1 1 0 3 3;Optional pension scheme for Members;SEC1 1 0 3;;5.2.11;32.000;32.000
SEC1 1 0 3 3;Reserves;SEC1 1 0 3 Reserves;;5.2.11;n/a;n/a
SEC1 1 0 5;Language and data-processing courses;SEC1 1 0;;5.2.11;500.000;500.000
SEC1 1 0 5;Reserves;SEC1 1 0 Reserves;;5.2.11;n/a;n/a
SEC1 1 0 9;Provisional appropriation;SEC1 1 0;;5.2.11;p.m.;p.m.
SEC1 1 0 9;Reserves;SEC1 1 0 Reserves;;5.2.11;n/a;n/a
SEC1 1 2;OFFICIALS AND TEMPORARY STAFF;SEC1 1;;;595.102.338;595.102.338
SEC1 1 2;Reserves;SEC1 1 Reserves;;;;
SEC1 1 2 0;Remuneration and other entitlements;SEC1 1 2;;;594.524.338;594.524.338
SEC1 1 2 0;Reserves;SEC1 1 2 Reserves;;;;
SEC1 1 2 0 0;Remuneration and allowances;SEC1 1 2 0;;5.2.121;589.687.598;589.687.598
SEC1 1 2 0 0;Reserves;SEC1 1 2 0 Reserves;;5.2.121;n/a;n/a
SEC1 1 2 0 2;Paid overtime;SEC1 1 2 0;;5.2.121;436.740;436.740
SEC1 1 2 0 2;Reserves;SEC1 1 2 0 Reserves;;5.2.121;n/a;n/a
SEC1 1 2 0 4;Entitlements on entering the service, transfer and leaving the service;SEC1 1 2 0;;5.2.123;4.400.000;4.400.000
SEC1 1 2 0 4;Reserves;SEC1 1 2 0 Reserves;;5.2.123;n/a;n/a
SEC1 1 2 2;Allowances upon early termination of service;SEC1 1 2;;;578.000;578.000
SEC1 1 2 2;Reserves;SEC1 1 2 Reserves;;;;
SEC1 1 2 2 0;Allowances for staff retired in the interests of the service;SEC1 1 2 2;;5.2.121;396.000;396.000
SEC1 1 2 2 0;Reserves;SEC1 1 2 2 Reserves;;5.2.121;n/a;n/a
SEC1 1 2 2 2;Allowances for staff whose service is terminated and special retirement scheme for officials and temporary staff;SEC1 1 2 2;;5.2.121;182.000;182.000
SEC1 1 2 2 2;Reserves;SEC1 1 2 2 Reserves;;5.2.121;n/a;n/a
SEC1 1 2 4;Provisional appropriation;SEC1 1 2;;5.2.121;p.m.;p.m.
SEC1 1 2 4;Reserves;SEC1 1 2 Reserves;;5.2.121;n/a;n/a
SEC1 1 4;OTHER STAFF AND EXTERNAL SERVICES;SEC1 1;;;98.177.439;98.177.439
SEC1 1 4;Reserves;SEC1 1 Reserves;;;;
SEC1 1 4 0;Other staff and external persons;SEC1 1 4;;;90.798.439;90.798.439
SEC1 1 4 0;Reserves;SEC1 1 4 Reserves;;;;
SEC1 1 4 0 0;Other staff;SEC1 1 4 0;;5.2.122;43.796.448;43.796.448
SEC1 1 4 0 0;Reserves;SEC1 1 4 0 Reserves;;5.2.122;n/a;n/a
SEC1 1 4 0 2;Expenditure on interpretation;SEC1 1 4 0;;5.2.132;39.428.991;39.428.991
SEC1 1 4 0 2;Reserves;SEC1 1 4 0 Reserves;;5.2.132;n/a;n/a
SEC1 1 4 0 4;Graduate traineeships and exchanges of officials;SEC1 1 4 0;;5.2.122;7.573.000;7.573.000
SEC1 1 4 0 4;Reserves;SEC1 1 4 0 Reserves;;5.2.122;n/a;n/a
SEC1 1 4 0 6;Observers;SEC1 1 4 0;;5.2.11;p.m.;p.m.
SEC1 1 4 0 6;Reserves;SEC1 1 4 0 Reserves;;5.2.11;n/a;n/a
SEC1 1 4 2;External translation services;SEC1 1 4;;;7.379.000;7.379.000
SEC1 1 4 2;Reserves;SEC1 1 4 Reserves;;;;
SEC1 1 4 2 0;External translation services;SEC1 1 4 2;;5.2.132;7.000.000;7.000.000
SEC1 1 4 2 0;Reserves;SEC1 1 4 2 Reserves;;5.2.132;n/a;n/a
SEC1 1 4 2 2;Interinstitutional cooperation activities in the language field;SEC1 1 4 2;;5.2.132;379.000;379.000
SEC1 1 4 2 2;Reserves;SEC1 1 4 2 Reserves;;5.2.132;n/a;n/a
SEC1 1 4 4;Provisional appropriation;SEC1 1 4;;5.2.122;p.m.;p.m.
SEC1 1 4 4;Reserves;SEC1 1 4 Reserves;;5.2.122;n/a;n/a
SEC1 1 6;OTHER EXPENDITURE RELATING TO PERSONS WORKING WITH THE INSTITUTION;SEC1 1;;;18.839.000;18.839.000
SEC1 1 6;Reserves;SEC1 1 Reserves;;;;
SEC1 1 6 1;Expenditure relating to staff management;SEC1 1 6;;;5.436.000;5.436.000
SEC1 1 6 1;Reserves;SEC1 1 6 Reserves;;;;
SEC1 1 6 1 0;Expenditure on recruitment;SEC1 1 6 1;;5.2.123;446.000;446.000
SEC1 1 6 1 0;Reserves;SEC1 1 6 1 Reserves;;5.2.123;n/a;n/a
SEC1 1 6 1 2;Further training;SEC1 1 6 1;;5.2.123;4.990.000;4.990.000
SEC1 1 6 1 2;Reserves;SEC1 1 6 1 Reserves;;5.2.123;n/a;n/a
SEC1 1 6 3;Measures to assist the institution's staff;SEC1 1 6;;;1.790.500;1.790.500
SEC1 1 6 3;Reserves;SEC1 1 6 Reserves;;;;
SEC1 1 6 3 0;Social welfare;SEC1 1 6 3;;5.2.123;719.500;719.500
SEC1 1 6 3 0;Reserves;SEC1 1 6 3 Reserves;;5.2.123;n/a;n/a
SEC1 1 6 3 1;Mobility;SEC1 1 6 3;;5.2.123;800.000;800.000
SEC1 1 6 3 1;Reserves;SEC1 1 6 3 Reserves;;5.2.123;n/a;n/a
SEC1 1 6 3 2;Social contacts between members of staff and other social measures;SEC1 1 6 3;;5.2.123;271.000;271.000
SEC1 1 6 3 2;Reserves;SEC1 1 6 3 Reserves;;5.2.123;n/a;n/a
SEC1 1 6 5;Activities relating to all persons working with the institution;SEC1 1 6;;;11.612.500;11.612.500
SEC1 1 6 5;Reserves;SEC1 1 6 Reserves;;;;
SEC1 1 6 5 0;Medical service;SEC1 1 6 5;;5.2.123;1.285.000;1.285.000
SEC1 1 6 5 0;Reserves;SEC1 1 6 5 Reserves;;5.2.123;n/a;n/a
SEC1 1 6 5 2;Current operating expenditure for restaurants and canteens;SEC1 1 6 5;;5.2.123;4.050.000;4.050.000
SEC1 1 6 5 2;Reserves;SEC1 1 6 5 Reserves;;5.2.123;n/a;n/a
SEC1 1 6 5 4;Early Childhood Centre and approved day nurseries;SEC1 1 6 5;;5.2.123;6.277.500;6.277.500
SEC1 1 6 5 4;Reserves;SEC1 1 6 5 Reserves;;5.2.123;n/a;n/a
SEC1 2;BUILDINGS, FURNITURE, EQUIPMENT AND MISCELLANEOUS OPERATING EXPENDITURE;SEC1 E;;;348.834.377;348.834.377
SEC1 2;Reserves;SEC1 E Reserves;;;;
SEC1 2 0;Buildings and associated costs;SEC1 2;;;201.643.000;201.643.000
SEC1 2 0;Reserves;SEC1 2 Reserves;;;;
SEC1 2 0 0;Buildings;SEC1 2 0;;;92.286.000;92.286.000
SEC1 2 0 0;Reserves;SEC1 2 0 Reserves;;;;
SEC1 2 0 0 0;Rent;SEC1 2 0 0;;5.2.141;30.653.000;30.653.000
SEC1 2 0 0 0;Reserves;SEC1 2 0 0 Reserves;;5.2.141;n/a;n/a
SEC1 2 0 0 1;Lease payments;SEC1 2 0 0;;5.2.141;5.419.000;5.419.000
SEC1 2 0 0 1;Reserves;SEC1 2 0 0 Reserves;;5.2.141;n/a;n/a
SEC1 2 0 0 3;Acquisition of immovable property;SEC1 2 0 0;;5.2.141;p.m.;p.m.
SEC1 2 0 0 3;Reserves;SEC1 2 0 0 Reserves;;5.2.141;n/a;n/a
SEC1 2 0 0 5;Construction of buildings;SEC1 2 0 0;;5.2.141;25.465.000;25.465.000
SEC1 2 0 0 5;Reserves;SEC1 2 0 0 Reserves;;5.2.141;n/a;n/a
SEC1 2 0 0 7;Fitting-out of premises;SEC1 2 0 0;;5.2.142;25.471.000;25.471.000
SEC1 2 0 0 7;Reserves;SEC1 2 0 0 Reserves;;5.2.142;n/a;n/a
SEC1 2 0 0 8;Other specific property management arrangements;SEC1 2 0 0;;5.2.142;5.278.000;5.278.000
SEC1 2 0 0 8;Reserves;SEC1 2 0 0 Reserves;;5.2.142;n/a;n/a
SEC1 2 0 2;Expenditure on buildings;SEC1 2 0;;;109.357.000;109.357.000
SEC1 2 0 2;Reserves;SEC1 2 0 Reserves;;;;
SEC1 2 0 2 2;Building maintenance, upkeep, operation and cleaning;SEC1 2 0 2;;5.2.142;60.095.000;60.095.000
SEC1 2 0 2 2;Reserves;SEC1 2 0 2 Reserves;;5.2.142;n/a;n/a
SEC1 2 0 2 4;Energy consumption;SEC1 2 0 2;;5.2.142;20.937.000;20.937.000
SEC1 2 0 2 4;Reserves;SEC1 2 0 2 Reserves;;5.2.142;n/a;n/a
SEC1 2 0 2 6;Security and surveillance of buildings;SEC1 2 0 2;;5.2.142;27.305.000;27.305.000
SEC1 2 0 2 6;Reserves;SEC1 2 0 2 Reserves;;5.2.142;n/a;n/a
SEC1 2 0 2 8;Insurance;SEC1 2 0 2;;5.2.142;1.020.000;1.020.000
SEC1 2 0 2 8;Reserves;SEC1 2 0 2 Reserves;;5.2.142;n/a;n/a
SEC1 2 1;DATA PROCESSING, EQUIPMENT AND MOVABLE PROPERTY;SEC1 2;;;140.958.877;140.958.877
SEC1 2 1;Reserves;SEC1 2 Reserves;;;;
SEC1 2 1 0;Computing and telecommunications;SEC1 2 1;;;107.580.377;107.580.377
SEC1 2 1 0;Reserves;SEC1 2 1 Reserves;;;;
SEC1 2 1 0 0;Computing and telecommunications: business as usual — Operations;SEC1 2 1 0;;5.2.17;25.862.503;25.862.503
SEC1 2 1 0 0;Reserves;SEC1 2 1 0 Reserves;;5.2.17;n/a;n/a
SEC1 2 1 0 1;Computing and telecommunications: business as usual — Infrastructure;SEC1 2 1 0;;5.2.17;27.478.949;27.478.949
SEC1 2 1 0 1;Reserves;SEC1 2 1 0 Reserves;;5.2.17;n/a;n/a
SEC1 2 1 0 2;Computing and telecommunications: business as usual — General support;SEC1 2 1 0;;5.2.131;13.315.983;13.315.983
SEC1 2 1 0 2;Reserves;SEC1 2 1 0 Reserves;;5.2.131;n/a;n/a
SEC1 2 1 0 3;Computing and telecommunications: business as usual — ICT applications management;SEC1 2 1 0;;5.2.131;13.202.000;13.202.000
SEC1 2 1 0 3;Reserves;SEC1 2 1 0 Reserves;;5.2.131;n/a;n/a
SEC1 2 1 0 4;Computing and telecommunications: investments — Corporate infrastructure;SEC1 2 1 0;;5.2.17;15.743.215;15.743.215
SEC1 2 1 0 4;Reserves;SEC1 2 1 0 Reserves;;5.2.17;n/a;n/a
SEC1 2 1 0 5;Computing and telecommunications: investments — Ongoing and new development projects;SEC1 2 1 0;;5.2.131;11.977.727;11.977.727
SEC1 2 1 0 5;Reserves;SEC1 2 1 0 Reserves;;5.2.131;n/a;n/a
SEC1 2 1 2;Furniture;SEC1 2 1;;5.2.17;3.180.000;3.180.000
SEC1 2 1 2;Reserves;SEC1 2 1 Reserves;;5.2.17;n/a;n/a
SEC1 2 1 4;Technical equipment and installations;SEC1 2 1;;5.2.17;22.933.500;22.933.500
SEC1 2 1 4;Reserves;SEC1 2 1 Reserves;;5.2.17;n/a;n/a
SEC1 2 1 6;Vehicles;SEC1 2 1;;5.2.17;7.265.000;7.265.000
SEC1 2 1 6;Reserves;SEC1 2 1 Reserves;;5.2.17;n/a;n/a
SEC1 2 3;CURRENT ADMINISTRATIVE EXPENDITURE;SEC1 2;;;6.232.500;6.232.500
SEC1 2 3;Reserves;SEC1 2 Reserves;;;;
SEC1 2 3 0;Stationery, office supplies and miscellaneous consumables;SEC1 2 3;;5.2.17;2.021.000;2.021.000
SEC1 2 3 0;Reserves;SEC1 2 3 Reserves;;5.2.17;n/a;n/a
SEC1 2 3 1;Financial charges;SEC1 2 3;;5.2.17;65.000;65.000
SEC1 2 3 1;Reserves;SEC1 2 3 Reserves;;5.2.17;n/a;n/a
SEC1 2 3 2;Legal costs and damages;SEC1 2 3;;5.2.17;1.035.000;1.035.000
SEC1 2 3 2;Reserves;SEC1 2 3 Reserves;;5.2.17;n/a;n/a
SEC1 2 3 6;Postage on correspondence and delivery charges;SEC1 2 3;;5.2.17;510.000;510.000
SEC1 2 3 6;Reserves;SEC1 2 3 Reserves;;5.2.17;n/a;n/a
SEC1 2 3 7;Removals;SEC1 2 3;;5.2.17;1.620.000;1.620.000
SEC1 2 3 7;Reserves;SEC1 2 3 Reserves;;5.2.17;n/a;n/a
SEC1 2 3 8;Other administrative expenditure;SEC1 2 3;;5.2.17;731.500;731.500
SEC1 2 3 8;Reserves;SEC1 2 3 Reserves;;5.2.17;n/a;n/a
SEC1 2 3 9;European Parliament carbon offsetting scheme;SEC1 2 3;;5.2.17;250.000;250.000
SEC1 2 3 9;Reserves;SEC1 2 3 Reserves;;5.2.17;n/a;n/a
SEC1 3;EXPENDITURE RESULTING FROM GENERAL FUNCTIONS CARRIED OUT BY THE INSTITUTION;SEC1 E;;;159.775.889;159.775.889
SEC1 3;Reserves;SEC1 E Reserves;;;;
SEC1 3 0;MEETINGS AND CONFERENCES;SEC1 3;;;35.554.960;35.554.960
SEC1 3 0;Reserves;SEC1 3 Reserves;;;;
SEC1 3 0 0;Expenses for staff missions and duty travel between the three places of work;SEC1 3 0;;5.2.15;27.600.000;27.600.000
SEC1 3 0 0;Reserves;SEC1 3 0 Reserves;;5.2.15;n/a;n/a
SEC1 3 0 2;Reception and representation expenses;SEC1 3 0;;5.2.15;1.333.260;1.333.260
SEC1 3 0 2;Reserves;SEC1 3 0 Reserves;;5.2.15;n/a;n/a
SEC1 3 0 4;Miscellaneous expenditure on meetings;SEC1 3 0;;;6.621.700;6.621.700
SEC1 3 0 4;Reserves;SEC1 3 0 Reserves;;;;
SEC1 3 0 4 0;Miscellaneous expenditure on internal meetings;SEC1 3 0 4;;5.2.15;2.250.000;2.250.000
SEC1 3 0 4 0;Reserves;SEC1 3 0 4 Reserves;;5.2.15;n/a;n/a
SEC1 3 0 4 2;Meetings, congresses and conferences;SEC1 3 0 4;;5.2.15;1.232.500;1.232.500
SEC1 3 0 4 2;Reserves;SEC1 3 0 4 Reserves;;5.2.15;n/a;n/a
SEC1 3 0 4 3;Miscellaneous expenditure for organising parliamentary assemblies, interparliamentary delegations and other delegations;SEC1 3 0 4;;5.2.15;1.039.200;1.039.200
SEC1 3 0 4 3;Reserves;SEC1 3 0 4 Reserves;;5.2.15;n/a;n/a
SEC1 3 0 4 9;Expenditure on travel agency services;SEC1 3 0 4;;5.2.15;2.100.000;2.100.000
SEC1 3 0 4 9;Reserves;SEC1 3 0 4 Reserves;;5.2.15;n/a;n/a
SEC1 3 2;EXPERTISE AND INFORMATION: ACQUISITION, ARCHIVING, PRODUCTION AND DISSEMINATION;SEC1 3;;;124.220.929;124.220.929
SEC1 3 2;Reserves;SEC1 3 Reserves;;;;
SEC1 3 2 0;Acquisition of expertise;SEC1 3 2;;5.2.16;10.386.000;10.386.000
SEC1 3 2 0;Reserves;SEC1 3 2 Reserves;;5.2.16;n/a;n/a
SEC1 3 2 2;Acquisition of information and archiving;SEC1 3 2;;;8.232.676;8.232.676
SEC1 3 2 2;Reserves;SEC1 3 2 Reserves;;;;
SEC1 3 2 2 0;Documentation and library expenditure;SEC1 3 2 2;;5.2.16;6.632.676;6.632.676
SEC1 3 2 2 0;Reserves;SEC1 3 2 2 Reserves;;5.2.16;n/a;n/a
SEC1 3 2 2 2;Expenditure on archive funds;SEC1 3 2 2;;5.2.16;1.600.000;1.600.000
SEC1 3 2 2 2;Reserves;SEC1 3 2 2 Reserves;;5.2.16;n/a;n/a
SEC1 3 2 3;Relations with parliaments of third countries and support for parliamentary democracy and human rights;SEC1 3 2;;5.2.15;637.500;637.500
SEC1 3 2 3;Reserves;SEC1 3 2 Reserves;;5.2.15;n/a;n/a
SEC1 3 2 4;Production and dissemination;SEC1 3 2;;;103.864.753;103.864.753
SEC1 3 2 4;Reserves;SEC1 3 2 Reserves;;;;
SEC1 3 2 4 0;Official Journal;SEC1 3 2 4;;5.2.16;4.586.000;4.586.000
SEC1 3 2 4 0;Reserves;SEC1 3 2 4 Reserves;;5.2.16;n/a;n/a
SEC1 3 2 4 1;Digital and traditional publications;SEC1 3 2 4;;5.2.16;5.703.318;5.703.318
SEC1 3 2 4 1;Reserves;SEC1 3 2 4 Reserves;;5.2.16;n/a;n/a
SEC1 3 2 4 2;Expenditure on publication, information and participation in public events;SEC1 3 2 4;;5.2.16;21.036.912;21.036.912
SEC1 3 2 4 2;Reserves;SEC1 3 2 4 Reserves;;5.2.16;n/a;n/a
SEC1 3 2 4 3;Parlamentarium — the European Parliament Visitors’ Centre;SEC1 3 2 4;;5.2.16;4.978.023;4.978.023
SEC1 3 2 4 3;Reserves;SEC1 3 2 4 Reserves;;5.2.16;n/a;n/a
SEC1 3 2 4 4;Organisation and reception of groups of visitors, Euroscola programme and invitations to opinion multipliers from third countries;SEC1 3 2 4;;5.2.16;30.120.500;30.120.500
SEC1 3 2 4 4;Reserves;SEC1 3 2 4 Reserves;;5.2.16;n/a;n/a
SEC1 3 2 4 5;Organisation of seminars, symposia and cultural activities;SEC1 3 2 4;;5.2.16;6.725.000;6.725.000
SEC1 3 2 4 5;Reserves;SEC1 3 2 4 Reserves;;5.2.16;n/a;n/a
SEC1 3 2 4 6;Parliamentary television channel (Web TV);SEC1 3 2 4;;5.2.16;5.000.000;5.000.000
SEC1 3 2 4 6;Reserves;SEC1 3 2 4 Reserves;;5.2.16;n/a;n/a
SEC1 3 2 4 7;House of European History;SEC1 3 2 4;;5.2.16;9.650.000;9.650.000
SEC1 3 2 4 7;Reserves;SEC1 3 2 4 Reserves;;5.2.16;n/a;n/a
SEC1 3 2 4 8;Expenditure on audiovisual information;SEC1 3 2 4;;5.2.16;15.620.000;15.620.000
SEC1 3 2 4 8;Reserves;SEC1 3 2 4 Reserves;;5.2.16;n/a;n/a
SEC1 3 2 4 9;Information exchanges with national parliaments;SEC1 3 2 4;;5.2.15;445.000;445.000
SEC1 3 2 4 9;Reserves;SEC1 3 2 4 Reserves;;5.2.15;n/a;n/a
SEC1 3 2 5;Expenditure relating to Information Offices;SEC1 3 2;;5.2.17;1.100.000;1.100.000
SEC1 3 2 5;Reserves;SEC1 3 2 Reserves;;5.2.17;n/a;n/a
SEC1 4;EXPENDITURE RESULTING FROM SPECIAL FUNCTIONS CARRIED OUT BY THE INSTITUTION;SEC1 E;;;297.610.630;297.610.630
SEC1 4;Reserves;SEC1 E Reserves;;;;
SEC1 4 0;EXPENDITURE RELATING TO CERTAIN INSTITUTIONS AND BODIES;SEC1 4;;;100.994.200;100.994.200
SEC1 4 0;Reserves;SEC1 4 Reserves;;;;
SEC1 4 0 0;Current administrative expenditure and expenditure relating to the political and information activities of the political groups and non-attached Members;SEC1 4 0;;5.2.1SPEC;59.800.000;59.800.000
SEC1 4 0 0;Reserves;SEC1 4 0 Reserves;;5.2.1SPEC;n/a;n/a
SEC1 4 0 2;Funding of European political parties;SEC1 4 0;;5.2.1SPEC;27.794.200;27.794.200
SEC1 4 0 2;Reserves;SEC1 4 0 Reserves;;5.2.1SPEC;n/a;n/a
SEC1 4 0 3;Funding of European political foundations;SEC1 4 0;;5.2.1SPEC;13.400.000;13.400.000
SEC1 4 0 3;Reserves;SEC1 4 0 Reserves;;5.2.1SPEC;n/a;n/a
SEC1 4 2;EXPENDITURE RELATING TO PARLIAMENTARY ASSISTANCE;SEC1 4;;;196.216.430;196.216.430
SEC1 4 2;Reserves;SEC1 4 Reserves;;;;
SEC1 4 2 2;Parliamentary assistance;SEC1 4 2;;5.2.122;196.216.430;196.216.430
SEC1 4 2 2;Reserves;SEC1 4 2 Reserves;;5.2.122;n/a;n/a
SEC1 4 4;MEETINGS AND OTHER ACTIVITIES OF CURRENT AND FORMER MEMBERS;SEC1 4;;;400.000;400.000
SEC1 4 4;Reserves;SEC1 4 Reserves;;;;
SEC1 4 4 0;Cost of meetings and other activities of former Members;SEC1 4 4;;5.2.1SPEC;200.000;200.000
SEC1 4 4 0;Reserves;SEC1 4 4 Reserves;;5.2.1SPEC;n/a;n/a
SEC1 4 4 2;Cost of meetings and other activities of the European Parliamentary Association;SEC1 4 4;;5.2.1SPEC;200.000;200.000
SEC1 4 4 2;Reserves;SEC1 4 4 Reserves;;5.2.1SPEC;n/a;n/a
SEC1 10;OTHER EXPENDITURE;SEC1 E;;;13.000.000;13.000.000
SEC1 10;Reserves;SEC1 E Reserves;;;;
SEC1 10 0;PROVISIONAL APPROPRIATIONS;SEC1 10;reserve;;p.m.;p.m.
SEC1 10 0;Reserves;SEC1 10 Reserves;reserve;;n/a;n/a
SEC1 10 1;CONTINGENCY RESERVE;SEC1 10;;5.2.17;13.000.000;13.000.000
SEC1 10 1;Reserves;SEC1 10 Reserves;;5.2.17;n/a;n/a
SEC1 10 3;ENLARGEMENT RESERVE;SEC1 10;;5.2.17;p.m.;p.m.
SEC1 10 3;Reserves;SEC1 10 Reserves;;5.2.17;n/a;n/a
SEC1 10 4;RESERVE FOR INFORMATION AND COMMUNICATION POLICY;SEC1 10;;5.2.16;p.m.;p.m.
SEC1 10 4;Reserves;SEC1 10 Reserves;;5.2.16;n/a;n/a
SEC1 10 5;PROVISIONAL APPROPRIATION FOR BUILDINGS;SEC1 10;;5.2.141;p.m.;p.m.
SEC1 10 5;Reserves;SEC1 10 Reserves;;5.2.141;n/a;n/a
SEC1 10 6;RESERVE FOR PRIORITY PROJECTS UNDER DEVELOPMENT;SEC1 10;;5.2.17;p.m.;p.m.
SEC1 10 6;Reserves;SEC1 10 Reserves;;5.2.17;n/a;n/a
SEC1 10 8;EMAS RESERVE;SEC1 10;;5.2.17;p.m.;p.m.
SEC1 10 8;Reserves;SEC1 10 Reserves;;5.2.17;n/a;n/a
SEC2;SECTION II — EUROPEAN COUNCIL AND COUNCIL;;;n/a;n/a;n/a
SEC2;Reserves;;;n/a;n/a;n/a
SEC2 E;EXPENDITURE;;;;534.202.300;534.202.300
SEC2 E;Reserves;;;;700.000;700.000
SEC2 1;PERSONS WORKING WITH THE INSTITUTION;SEC2 E;;;316.207.539;316.207.539
SEC2 1;Reserves;SEC2 E Reserves;;;;
SEC2 1 0;Members of the institution;SEC2 1;;;1.230.000;1.230.000
SEC2 1 0;Reserves;SEC2 1 Reserves;;;;
SEC2 1 0 0;Remuneration and other entitlements;SEC2 1 0;;;1.166.000;1.166.000
SEC2 1 0 0;Reserves;SEC2 1 0 Reserves;;;;
SEC2 1 0 0 0;Basic salary;SEC2 1 0 0;;5.2.21;316.000;316.000
SEC2 1 0 0 0;Reserves;SEC2 1 0 0 Reserves;;5.2.21;n/a;n/a
SEC2 1 0 0 1;Entitlements related to the post held;SEC2 1 0 0;;5.2.21;65.000;65.000
SEC2 1 0 0 1;Reserves;SEC2 1 0 0 Reserves;;5.2.21;n/a;n/a
SEC2 1 0 0 2;Entitlements related to the personal circumstances;SEC2 1 0 0;;5.2.21;20.000;20.000
SEC2 1 0 0 2;Reserves;SEC2 1 0 0 Reserves;;5.2.21;n/a;n/a
SEC2 1 0 0 3;Social security cover;SEC2 1 0 0;;5.2.21;13.000;13.000
SEC2 1 0 0 3;Reserves;SEC2 1 0 0 Reserves;;5.2.21;n/a;n/a
SEC2 1 0 0 4;Other management expenditure;SEC2 1 0 0;;5.2.21;675.000;675.000
SEC2 1 0 0 4;Reserves;SEC2 1 0 0 Reserves;;5.2.21;n/a;n/a
SEC2 1 0 0 6;Entitlements on entering the service, transfer and leaving the service;SEC2 1 0 0;;5.2.21;77.000;77.000
SEC2 1 0 0 6;Reserves;SEC2 1 0 0 Reserves;;5.2.21;n/a;n/a
SEC2 1 0 1;Termination of service;SEC2 1 0;;;15.000;15.000
SEC2 1 0 1;Reserves;SEC2 1 0 Reserves;;;;
SEC2 1 0 1 0;Pensions;SEC2 1 0 1;;5.2.21;15.000;15.000
SEC2 1 0 1 0;Reserves;SEC2 1 0 1 Reserves;;5.2.21;n/a;n/a
SEC2 1 0 2;Provisional appropriation;SEC2 1 0;;;49.000;49.000
SEC2 1 0 2;Reserves;SEC2 1 0 Reserves;;;;
SEC2 1 0 2 0;Provisional appropriation for changes in the entitlements;SEC2 1 0 2;;5.2.21;49.000;49.000
SEC2 1 0 2 0;Reserves;SEC2 1 0 2 Reserves;;5.2.21;n/a;n/a
